text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"Las escaleras del barrio de #Bronx en las que baila el “#Joker”, interpretado por #JoaquinPhoenix, se convirtieron… https://t.co/X6YZb8jrsa",FALSE,0,NA,2019-10-23T19:47:36Z,TRUE,NA,1187093234469588993,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Latitud_mx,0,FALSE,FALSE,NA,NA
"#Joker va d'un tarat que se va equivocar de professió i de tant en tant fa tai-chi.
#sinopsisverdaderes",FALSE,0,NA,2019-10-23T19:47:18Z,FALSE,NA,1187093156527034368,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pinicules,0,FALSE,FALSE,NA,NA
"RT @hornsfan84: As soon as I seen this scene when I watched the movie, I knew I was going to edit it with a song lol. Well, here's my shot…",FALSE,0,NA,2019-10-23T19:47:15Z,FALSE,NA,1187093143998685186,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",iamaaronc,2,TRUE,FALSE,NA,NA
RT @_BrooklynBatman: #Joker and #Venom celebrating after both making over 800 million despite bloggers and critics trying to sabotage them…,FALSE,0,NA,2019-10-23T19:47:12Z,FALSE,NA,1187093132137189381,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",yankramirezc,131,TRUE,FALSE,NA,NA
"I stan Heath Ledger 

#joker #JokerMovie #JokerFilm",FALSE,0,NA,2019-10-23T19:46:55Z,FALSE,NA,1187093060435533832,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",djnovadee,0,FALSE,FALSE,NA,NA
"RT @Manosval1231: Δεν ήμαστε χούλιγκανς του #OLYFCB οι φύλακες των λευκών VW polo είμαστε ,εγώ και ο σουγιάς με τον σανίδα φυλούσαμε έξω στ…",FALSE,0,NA,2019-10-23T19:46:53Z,FALSE,NA,1187093054165061633,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Northfce1,1,TRUE,FALSE,NA,NA
RT @charoenpura: ดูช้าแต่ดูนะ #joker https://t.co/CS9bDprf1k,FALSE,0,NA,2019-10-23T19:46:52Z,FALSE,NA,1187093049886691329,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",raleviea,2431,TRUE,FALSE,NA,NA
"RT @leloji: ""Lo peor de tener una enfermedad mental es que la gente espera que te comportes como si no la tuvieras"".
#Joker https://t.co/iJ…",FALSE,0,NA,2019-10-23T19:46:44Z,FALSE,NA,1187093013073403904,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ConsRodrigo,3,TRUE,FALSE,NA,NA
"RT @OdinsMovieBlog: WHAT HAVE YOU DONE!?!?!? @boxofficemojo @imdbpro @IMDb #boxofficemojo #joker #jokermovie

https://t.co/s1L0S1Voeu",FALSE,0,NA,2019-10-23T19:46:41Z,FALSE,NA,1187093002948349953,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AngelStep123,2,TRUE,FALSE,NA,NA
"RT @AndresMusta: #Joker is a grim reminder of how  quickly cuts to public services, combined with divisive politics can undermine everythin…",FALSE,0,NA,2019-10-23T19:46:41Z,FALSE,NA,1187093002256375809,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",adwilkin79,1,TRUE,FALSE,NA,NA
RT @ComicPort24: The #Joker but he Laughs like Kawhi Leonard https://t.co/PfNqg1MPEI,FALSE,0,NA,2019-10-23T19:46:37Z,FALSE,NA,1187092984225058816,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EricHertel,4,TRUE,FALSE,NA,NA
"RT @_ABYstyle: [#CONCOURS #JOKER] 
Enfuyez-vous d’Arkham les mains pleines de cadeaux ! 
@_ABYstyle et @UrbanComics vous proposent de rempo…",FALSE,0,NA,2019-10-23T19:46:36Z,FALSE,NA,1187092980269760520,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",doucette56,594,TRUE,FALSE,NA,NA
RT @BATMANNOTES: The Jokers (by Hossein Diba) #HeathLedger #JoaquinPhoenix #JokerMovie #Batman #Joker https://t.co/7BpdSmZ3GN,FALSE,0,NA,2019-10-23T19:46:21Z,FALSE,NA,1187092916822532099,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AGTMIB,6,TRUE,FALSE,NA,NA
